CHKS008,BIN1:PASS,BIN2:fun dc optest,BIN3:BIN3,BIN4:BIN4,BIN5:BIN5,BIN6:BIN6,BIN7:BIN7,BIN8:os,BIN9:BIN9,BIN10:BIN10,BIN11:BIN11,BIN12:BIN12,BIN13:design option,BIN14:rom_hv,BIN15:rom_lv,BIN16:BIN16,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:ADC,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:BIN33,BIN34:BIN34,BIN35:BIN35,unknow,unknow
CHKS008D,BIN1:PASS,BIN2:portdc,BIN3:current,BIN4:op_test,BIN5:cmptest,BIN6:adc,BIN7:lotid,BIN8:OS,BIN9:hv_fun,BIN10:lpd,BIN11:rc,BIN12:optcheck,BIN13:lv_fun,BIN14:rom_hv,BIN15:rom_lv,BIN16:pgm_opt_md0,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:BIN20,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:take off,BIN34:BL,BIN35:Missing,ZXF,dip20
CHKS008L,BIN1:PASS,BIN2:BIN2,BIN3:BIN3,BIN4:op test,BIN5:BIN5,BIN6:BIN6,BIN7:BIN7,BIN8:os,BIN9:BIN9,BIN10:BIN10,BIN11:BIN11,BIN12:BIN12,BIN13:BIN13,BIN14:BIN14,BIN15:BIN15,BIN16:BIN16,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:BIN20,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:BIN33,BIN34:BIN34,BIN35:BIN35,ZXF,unknow
CHKS008M,BIN1:PASS,BIN2:portdc,BIN3:current,BIN4:optest,BIN5:BIN5,BIN6:adc,BIN7:lotid ,BIN8:OS,BIN9:hv_fun,BIN10:lpdtest,BIN11:rctest,BIN12:optcheck,BIN13:lv_fun,BIN14:rom_hv,BIN15:rom_lv,BIN16:pgm_opt_md0,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:BIN20,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:take off,BIN34:BL,BIN35:Missing,ZXF,sop16
NT6868AG,BIN1:PASS,BIN2:BIN2,BIN3:BIN3,BIN4:BIN4,BIN5:BIN5,BIN6:BIN6,BIN7:BIN7,BIN8:BIN8,BIN9:BIN9,BIN10:BIN10,BIN11:BIN11,BIN12:BIN12,BIN13:BIN13,BIN14:BIN14,BIN15:BIN15,BIN16:BIN16,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:BIN20,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:BIN33,BIN34:BIN34,BIN35:BIN35,ZXF,unknow
QF808A,BIN1:PASS,BIN2:BIN2,BIN3:BIN3,BIN4:BIN4,BIN5:BIN5,BIN6:BIN6,BIN7:BIN7,BIN8:BIN8,BIN9:BIN9,BIN10:BIN10,BIN11:BIN11,BIN12:BIN12,BIN13:BIN13,BIN14:BIN14,BIN15:BIN15,BIN16:BIN16,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:BIN20,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:BIN33,BIN34:BIN34,BIN35:BIN35,unknow,unknow
QF808V02,BIN1:PASS,BIN2:portdc,BIN3:Iop,BIN4:Ihalt,BIN5:istop,BIN6:adc,BIN7:LOTID,BIN8:O/S,BIN9:hv_fun,BIN10:LPD,BIN11:rc,BIN12:cmp,BIN13:lv_fun,BIN14:rom_lv,BIN15:rom_hv,BIN16:pgm_opt_md0,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:BIN20,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:Vendor take,BIN34:BL,BIN35:Missing,unknow,unknow
SH366000AX,BIN1:PASS,BIN2:BIN2,BIN3:test_mode,BIN4:function_test_2v6,BIN5:jtag_test,BIN6:LDO_TEST/LVR23_TEST,BIN7:WRITE_OPTION,BIN8:OS,BIN9:CURRENT,BIN10:PORT_DC,BIN11:VOH VOL,BIN12:vref_14V_fused ,BIN13:fun_3v_test,BIN14:analog_iop/idle,BIN15:analog_pd,BIN16:cell_tra_test_3v0_8V,BIN17:cell_tra_test_3v0_12V,BIN18:cell_tra_test_3v0_20V,BIN19:cell_bal_test_3v0,BIN20:fet_test_ ,BIN21:reg_drive_test_3v0,BIN22:olv_test_3v0,BIN23:sccv_test_3v0,BIN24:scdv_test_3v0,BIN25:vcc_startup,BIN26:vcc_limit ,BIN27:adc_test,BIN28:adc_real_test,BIN29:pgm_code/read_code,BIN30:BIN30,BIN31:BIN31,BIN32:detect,BIN33:BIN33,BIN34:BIN34,BIN35:BIN35,LCC,TSSOP38
SH366000U,BIN1:PASS,BIN2:BIN2,BIN3:BIN3,BIN4:BIN4,BIN5:OS,BIN6:BIN6,BIN7:BIN7,BIN8:BIN8,BIN9:BIN9,BIN10:BIN10,BIN11:BIN11,BIN12:BIN12,BIN13:BIN13,BIN14:BIN14,BIN15:BIN15,BIN16:BIN16,BIN17:BIN17,BIN18:BIN18,BIN19:BIN19,BIN20:BIN20,BIN21:BIN21,BIN22:BIN22,BIN23:BIN23,BIN24:BIN24,BIN25:BIN25,BIN26:BIN26,BIN27:BIN27,BIN28:BIN28,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:BIN33,BIN34:BIN34,BIN35:BIN35,unknow,unknow
SH366000X,BIN1:PASS,BIN2:BIN2,BIN3:BIN3,BIN4:BIN4,BIN5:o/s,BIN6:leakage,BIN7:testmode,BIN8:func,BIN9:366000dc,BIN10:option,BIN11:adc_self,BIN12:adc_jump,BIN13:BIN13,BIN14:calibration,BIN15:pwr_lvr,BIN16:cell_tra_test,BIN17:k_idea,BIN18:cell_bal_test,BIN19:fet_dc,BIN20:olv,BIN21:sccv,BIN22:scdv,BIN23:state_test,BIN24:reg_drive,BIN25:iop,BIN26:lotid,BIN27:rc_lvr,BIN28:rd_lotid,BIN29:BIN29,BIN30:BIN30,BIN31:BIN31,BIN32:BIN32,BIN33:BIN33,BIN34:BIN34,BIN35:BIN35,unknow,unknow
